s.no,Code,Station,Latitude,Longitude
128,PRB,Parbati,23.2804838,76.9641075
129,MUGA,Mahugarha,24.6284644,77.2425304
130,MLAR,Malanpur,26.3920138,78.2607273
131,REI,Rithi,23.9046544,80.1405496
132,HRB,Harri,22.8273099,81.882391
133,NOI,Nariaoli,23.8960337,78.6045358
134,SMT,Salamatpur,23.460948,77.6724853
135,SONI,Soni,26.5262191,78.5522864
136,RPD,Rupaund,23.7303696,80.5764824
137,SNGP,Singhpur,23.2542449,81.4079779
138,BGHI,Baghai Road,24.5508023,81.0516679
139,DDCE,Dundi,23.5575248,80.2173229
140,BQQ,Bakhleta,23.8754273,80.0643065
141,SAC,Sanichara,26.3636637,78.1984721
142,SMRR,Sumreri,24.0079176,78.3990955
143,BJRI,Bijuri,23.2512046,82.1196369
144,DLD,Dalauda,23.9488996,75.1059228
145,GW,Girwar,23.8328384,78.9717479
146,GOA,Gohad Road,26.4680914,78.4085547
147,ISH,Isarwara,23.9268136,78.5484064
148,LDA,Lidhora Khurd,23.8521819,78.8761182
149,BET,Bareth,23.9144447,77.9998463
150,PGA,Pagara,24.6561739,77.4437081
151,KXB,Kanjiya,24.3516519,78.1645692
152,KTMA,Kotma,23.2026932,81.9791065
153,BZY,Basai,27.1578436,78.0507366
154,GVB,Guneru Bamori,24.4620946,78.0630059
155,GEA,Ghatera,23.8297833,79.673612
156,HDU,Hardua,23.9138491,80.2871618
157,ORR,Orr,24.5228933,77.833791
158,JLW,Jhalwara,23.7724728,80.4742176
159,ANA,Aslana,23.8600776,79.3195701
160,DOD,Dhodhar,23.7709692,75.1035962
161,MLG,Malhargarh,24.266559,74.9736878
162,MINA,Miyana Junction,23.1034602,70.7547915
163,SAO,Sagoni,23.8114468,79.811376
164,BIX,Bhind,26.5884918,78.7771882
165,SOR,Sonagir,25.7298086,78.4092119
166,BLAX,Barlai,22.8940168,75.9621005
167,NRGR,Naranjipur,23.046644,76.0088735
168,MGG,Mangliyagaon,22.8105511,75.9149289
169,BRGT,Bheraghat,23.1697783,79.7977655
170,BMR,Bikrampur,23.0824143,79.5867373
171,SQL,Sontalai,22.6130908,77.9500508
172,GMD,Guramkhedi,22.6820308,78.1006032
173,GRO,Gurra,22.6318952,77.8692841
174,NWR,Niwar,23.719549,80.3697679
175,BELD,Belkhera,22.9825584,79.3017398
176,ADTL,Adhartal,23.2279581,79.9729185
177,BNE,Bohani,22.9131653,78.9155715
178,SNRR,Sansarpur,23.6600044,80.3306014
179,TRWT,Taravata,24.7369982,77.379208
180,JBX,Jabri,23.2936408,76.8904607
181,CHDX,Chhada,23.2325523,81.4797056
182,BOD,Bangrod,23.3971863,75.121759
183,BAO,Banmor,26.3554714,78.0986027
184,PNHR,Panihar,26.1049627,78.0230752
185,BATL,Baihatola,23.2293752,82.0505708
186,NKJ,New Katni Junction,23.8044778,80.4294223
187,BLX,Bolai,23.3615483,76.4869936
188,PAI,Pabai,23.7675213,77.932037
189,LNR,Luni Richha,23.6611605,75.5142508
190,PTHD,Patohan,23.9138843,80.1992535
191,LOA,Lorha,23.5811172,80.751695
192,BRND,Boridand Junction,23.2672953,82.1778578
193,MFQ,Mahroi,23.9508929,80.9187709
194,GAJB,Gajara Bahara,24.0530969,82.2941583
195,DWG,Dewanganj,23.4286917,77.5924073
196,RSJ,Rayser,24.8868241,77.5133707
197,THUR,Thuria,23.8355835,75.5548239
198,GHAI,Ghatigaon,26.0663746,77.938312
199,MZH,Mauhari,23.1189104,81.7698294
200,AGR,Amargarh,23.062727,74.7374314
201,HRV,Harrad,23.1612735,81.9039881
202,SGBJ,Surgaon Banjari,21.946563,76.5441961
203,VYK,Vilayatkalan Road,23.701412,80.6364861
204,JOBA,Joba,24.0899488,81.7027259
205,RNH,Runkhera,23.4143977,75.1892978
206,NWB,Niwas Road,24.0823494,81.9345177
207,BOG,Bhairongarh,23.1450954,74.776758
208,BRUD,Barud,22.0282255,76.7637491
209,NLI,Namli,23.4555165,75.0669853
210,UKR,Udalkachar,23.2897066,82.2657376
211,DRSN,Dhurwasin,23.1293445,81.8461597
212,HPKA,Hinotia Pipalkhera,24.5312998,77.7996519
213,LWS,Lukwasa,25.106169,77.5909452
214,BJQ,Baghora,24.1362553,78.2604655
215,BDWA,Badhwabara,23.2946437,81.2868547
216,GGT,Ghunghuti,23.3436694,81.1859339
217,KCR,Khonker,25.3123357,77.5799366
218,RTI,Raoti,23.183751,74.8795092
219,BILD,Bildi,23.2251382,74.9182418
220,MRN,Morwani,23.2760326,74.9781758
221,PUO,Pir Umrod,23.2563285,76.2302901
222,DADN,Dr Ambedkar Nagar,22.5555977,75.7709215
223,RTWS,Rahatwas,24.5184447,77.8801503
224,MCSC,Maharaja Chhatrasal Station Chhatarpur,24.8780371,79.6151277
225,TKMG,Tikamgarh,24.7665639,78.8403957
226,KHGP,Khargapur,24.846137,79.1845286
227,BBTR,Barbatpur,22.196907,77.9197282
228,BXY,Bordhai,21.9976242,78.3485316
229,PUX,Parasia,22.1933175,78.7640139
230,NVG,Nawegaon,22.0880946,78.4372727
231,KHA,Khaigaon,22.0062137,76.4778113
232,ORC,Orchha,25.4011888,78.6457436
233,KRTH,Kiratgarh,22.5381324,77.7729751
234,BQM,Barelipar,22.0522454,78.4085267
235,KQE,Kala Akhar,22.3950799,77.8183071
236,JMV,Jambara,21.9428941,78.2515749
237,BCRD,Barchi Road,21.9525499,78.3120223
238,PCLI,Palachauri,22.2006745,78.6660535
239,BYS,Barsali,21.910178,78.0313949
240,MKDN,Markadhana,22.1111315,78.502774
241,GNW,Gangiwara,22.095824,78.8476744
242,MALK,Malkapur Road,21.9047135,77.9668799
243,MGRD,Magardoh,22.2455699,77.8942027
244,MSO,Misrod,23.1684964,77.4586234
245,HRG,Hirdagarh,22.1422333,78.5168853
246,TAKU,Taku,22.4886438,77.8196482
247,BKA,Barkhera,22.9168461,77.6500363
248,IKR,Iklehra,22.2079607,78.7088841
249,MJY,Maramjhiri,21.9445336,77.8834156
250,SAHL,Saheli,22.4535608,77.8162861
251,KTHA,Khutaha,24.8074848,80.8609146
252,PTWA,Patwara,23.9138274,80.4137152
253,TKYR,Tikaria,25.0005601,80.8746937
254,LGCE,Lagargawan,24.4646226,80.8148761
255,GPC,Ghatpindrai,22.9519905,79.2662487
256,BUU,Bhadanpur,24.1667042,80.6779396
257,PKRD,Pakaria Road,24.0476642,80.501048
258,CTHR,Chitahra,24.871131,80.8383948
259,MKD,Markundi,25.0182261,80.9484672
260,SAGM,Sagma,24.627191,80.8287764
261,HET,Hetampur,26.6108502,77.9437529
262,SANK,Sank,26.4304728,78.0597694
263,SASR,Sausar,21.6585741,78.8024603
264,BSDL,Bharsendi,24.053768,82.0161903
265,CID,Chiraidongri,22.4112801,80.287392
266,MDRR,Madhavnagar Road,23.7872221,80.3944061
267,CRL,Choral,22.4496338,75.9456731
268,BDKD,Bhandarkund,21.8362616,78.9184378
269,BUQ,Bargi,22.9939898,79.872322
270,SEX,Seroni Road,25.9462338,76.8857865
271,MDXR,Mudaria,23.3580396,81.0951704
272,GOPA,Ghosipura,26.2128776,78.1522371
273,SKY,Shikara,22.800178,79.85713
274,SMC,Samnapur,21.9418764,80.1564209
275,PIGT,Pilighat,24.6576819,77.5058534
276,SKLI,Sukli,21.6665432,79.67784
277,BIR,Bir,22.0528708,76.5471648
278,SKPR,Sikarpur Halt,21.9849281,78.9460341
279,SKU,Sikroda,26.339735,77.7330244
280,CKKD,Charkheda Khurd,21.9386692,76.6414592
281,TJP,Tajpur,23.2167525,75.923335
282,LDE,Lodhikheda,21.5801288,78.8548906
283,KRQ,Karari,25.5307738,78.5088874
284,KOA,Karonda,24.3302172,78.2651192
285,BIWK,Bisalwas Kalan,24.4976845,74.7840496
286,VNK,Binaiki,22.7197702,79.9031003
287,ARI,Antri,26.0356437,78.2269532
288,SMV,Sumaoli,26.3734391,77.9156399
289,RJQ,Rajendra Nagar,22.6700186,75.8292229
290,SUMR,Sumer,23.6253811,77.8798975
291,LIG,Linga,21.9647994,78.9372258
292,AJN,Ajnod,22.9314205,75.7383947
293,BMA,Bagmar,21.7251534,76.3632524
294,KKD,Kalakund,22.4776771,75.8598337
295,KTKD,Katangi Khurd,23.7763516,80.484885
296,SOE,Sheopur Kalan,25.6713529,76.7005775
297,POX,Pola Patthar,22.3455025,77.8549168
298,NNE,Nonera,26.4264194,78.3059887
299,BSRI,Basari,24.8135796,79.702878
300,MWAI,Mawai,24.7902703,78.924467
301,LKMN,Lokmanya Nagar,21.1108046,79.001754
